Smiles,CodeID,MolecularWeight,cLogS,cLogP,HBD,HBA,PSA,ROTATABLE_BONDS,DG,Ki,LIGAND_EFFICIENCY,BEI,SEI,NSEI,NBEI,nBEI,mBEI
CCc1[nH]cc(n1)C,AC11871,110.159,0.53,1.12,1.0,2.0,28.68,Null,-4.3,704.29,-0.54,28.6154420245,10.9911034797,1.576124238989728881366657606,0.3940310597474322203416644014,4.055338464971401348374531895,2.194268462813173340920540339
Oc1cc(C)c2c(n1)cccc2,AC12157,159.187,-2.18,2.24,1.0,2.0,33.12,Null,-6.7,12.26,-0.56,30.8537099752,14.8294369862,2.455754764908801892223131246,0.4092924608181336487038552078,5.990690775865228582163732705,4.113417128025839289955905992
COc1ccc2c(c1)c(c[nH]2)CN(C)C,AC12586,204.271,-1.95,2.05,1.0,3.0,28.26,Null,-5.1,182.51,-0.34,18.3027122543,13.2297004066,1.246237778300513883657245589,0.2492475556601027767314491177,4.914804593957222872897322800,3.048920049874931904307507763
Cc1cccc2c1[nH]cc2,AC12704,131.177,-1.91,2.62,1.0,1.0,15.79,Null,-6.1,33.74,-0.61,34.090236259,28.3208038109,4.471854921746893605016100301,0.4471854921746893605016100301,5.471854921746893615918937734,3.589712616171242119958038727
Cc1ccc(s1)C(=O)O,AC12788,142.177,Null,1.99,1.0,2.0,37.3,Null,-4.4,594.9,-0.49,22.6869045702,8.64760330047,1.612778015537517449454374441,0.3583951145638927665454165424,4.179798540514359803180033936,2.378385377250898736472132442
c1ccc2c(c1)[nH]c1c2ccnc1,AC12926,168.198,-2.93,2.41,1.0,2.0,28.68,Null,-5.8,55.99,-0.45,25.2790730716,14.82527731,2.125944766252508115797614354,0.3270684255773089408919406698,5.365832884811853007371866657,3.477710359911452606754947972
OC(=O)Cc1cccnc1.Cl,AC13196,173.598,Null,0.39,2.0,3.0,50.19,Null,-5.1,182.51,-0.51,21.5366152542,7.44912001375,1.246237778300513883657245589,0.3738713334901541650971736766,4.738713334901541650971736766,2.978258052320544595092152266
Fc1ccc(cc1)N1CCNCC1,AC18454,180.225,-1.16,1.43,1.0,2.0,15.27,Null,-5.3,130.22,-0.41,21.5581762186,25.4441539554,1.942661154494561096086546217,0.2988709468453170917056224949,4.999265661295958972679297637,3.141137343184722327278451833
c1ccc(cc1)c1n[nH]cc1,AC29603,144.176,-0.37,1.92,1.0,2.0,28.68,Null,-6.1,33.74,-0.55,31.0166388424,15.5922417076,2.235927460873446802508050150,0.4065322656133539640923727546,5.513247606905118618509206690,3.630747894092535462673842889
Cn1c(=S)oc2c1cccc2,AC29729,165.215,-1.8,2.15,0.0,2.0,18.07,Null,-4.7,358.53,-0.43,20.8544895977,19.0673740945,1.722737249441119855668808850,0.3132249544438399737579652455,4.486867184040464793128928316,2.663523973594781482826336124
Nc1ccc2c(c1)cn[nH]2,AC30454,133.153,-1.25,0.58,2.0,3.0,54.7,Null,-4.7,358.53,-0.47,25.8760561075,6.2988564879,1.148491499627413237112539233,0.344547449888223971133761770,4.445474498882239711337617700,2.569825454627295963710144392
Cc1occc1C(=O)O,AC33015,126.11,-0.74,0.93,1.0,3.0,50.44,Null,-4.9,255.8,-0.54,28.4838590108,7.12152946046,1.197366486619121636690060738,0.3991221622063738788966869126,4.546341969296689767403237160,2.692848985547224722551459419
Nc1ccc2c(c1)cc([nH]2)C,AC34875,146.192,-1.77,1.1,2.0,2.0,41.81,Null,-5.8,55.99,-0.53,29.08428322,10.1695516204,2.125944766252508115797614354,0.3865354120459105665086571553,5.293282217663241292055827053,3.416813140072710778133119799
Cc1ccc(o1)CO,AC35851,112.127,-0.62,0.5,1.0,2.0,33.37,Null,-4.6,424.45,-0.57,30.0745891898,10.1054044414,1.686086731041035257375635616,0.4215216827602588143439089039,4.275263449074014100392487915,2.421883664677962929193536248
OCCN1CCN(CC1)Cc1ccc(cc1)F,AW00107,238.304,Null,1.55,1.0,3.0,26.71,Null,-5.9,47.3,-0.35,18.1496695786,16.1929571668,1.441712953087396151156502556,0.2544199328977757913805592746,5.555587780640462370343872013,3.702270191425463837486089322
Clc1cc(cnc1N1CCNCCC1)C(F)(F)F,AW00189,279.692,-3.03,2.14,1.0,3.0,28.16,Null,-6.2,28.5,-0.34,16.2505725584,16.140465696,1.515051713330496608034055385,0.2525086188884161013390092309,5.800427645094795919720819453,3.991835184462612806076800837
Clc1ccc2c(c1)sc(n2)N1CCNCCC1,AW00326,267.783,-3.42,2.0,1.0,3.0,28.16,Null,-5.9,47.3,-0.35,16.1516558529,15.3591578809,1.441712953087396151156502556,0.2544199328977757913805592746,5.555587780640462370343872013,3.752921861958568347053500974
OCCN1CCN(CC1)Cc1ccccc1F,AW00354,238.304,-1.28,1.71,1.0,3.0,26.71,Null,-5.7,66.29,-0.34,17.5345440319,15.6441481879,1.392850660327489908159375265,0.2457971753519099837928309292,5.409000902360743636370457329,3.555683313145745053626484283
Fc1cccc(c1CN1CCNCCC1)Cl,AW00496,242.723,-2.59,2.08,1.0,2.0,15.27,Null,-5.6,78.48,-0.35,16.9132756501,26.8843549812,2.052620502814053968907059680,0.2565775628517567461133824601,5.309360988284032718669074940,3.490351936883032573319867202
Fc1ccc(cc1)CN1CCNCCC1,AW00512,208.278,-1.91,1.65,1.0,2.0,15.27,Null,-5.6,78.48,-0.37,19.7103919071,26.8843549812,2.052620502814053968907059680,0.2736827337085405291876079574,5.281332264683789212706725201,3.423884404317118336643300374
Nc1ccc(cc1)c1csc(n1)C,AW00938,190.269,-2.67,1.24,1.0,2.0,38.91,Null,-6.2,28.5,-0.48,23.8880487099,11.6812005654,2.272577569995744912051083078,0.3496273184608838326232435505,5.659098492298326619123529910,3.824523175647745469817054087
Fc1ccc2c(c1)C(=O)C(=O)N2,BTB01627,165.123,Null,0.51,1.0,3.0,46.17,Null,-6.6,14.51,-0.55,29.3013849528,10.4793861546,1.612777529187421392456400024,0.4031943822968553481141000059,5.917513833609888979739415275,4.056140157962446313582368103
Nc1ccccc1N1CCOCC1,BTB02219,178.234,-0.25,1.02,1.0,3.0,38.49,Null,-5.1,182.51,-0.39,20.9764317409,9.71346670538,1.246237778300513883657245589,0.2875933334539647423824412897,4.852656687208378408084820139,2.989703888720857157790569613
COc1ccccc1CCC(=O)O,BTB02522,180.202,-2.38,1.9,1.0,3.0,46.53,Null,-6.1,33.74,-0.47,24.8157896236,9.61069185847,1.490618307248964535005366767,0.3439888401343764311550846385,5.585798274053730396028280325,3.727614528501723027734180188
N#CC(c1cccs1)N1CCOCC1,BTB03488,208.284,-2.8,1.66,0.0,3.0,36.26,Null,-4.3,704.29,-0.31,15.1343765147,8.69345967452,1.050749492659819254244438404,0.2251606055699612687666653722,4.298376513657695771945167481,2.470904387492266735051611471
N#Cc1ccccc1N1CCCCC1,BTB03852,186.257,-2.45,2.67,0.0,2.0,27.03,Null,-5.7,66.29,-0.41,22.4343352517,15.458941846,2.089275990491234862239062898,0.2984679986416049803198661283,5.324680016660707739305522042,3.448664584573248967701534778
